context	result	golden_standard
ГОНКА ТЕХНОЛОГИЙ. В классе шин Ultra High Performanse постоянно идет гонка технологий -- производители шин стремятся продемонстрировать свое превосходство. Как правило, это очень дорогие шины с выраженными спортивными качествами. В новой Bridgestone Potenza S-03 разработчики применили новую мягкую резиновую смесь, которая при этом подходит для ежедневной эксплуатации. Continental ContiSportContact 2 также отличается уникальной резиновой смесью -- с «микроконтактными» качествами. Для Eagle F1 уже третьего по счету поколения Goodyear применила технологии спортивных «сликов». Michelin Pilot Sport и Yokohama AVS Sport вот уже несколько лет не упускают звания образцовых дорожных гоночных шин. Ну а качественные спортивные Toyo Proxes T1-S предназначены для тех, кому не по карману «топ-модели».	Second	Second
Операция по нанесению препаратов Clearvue Rain Repellent от фирмы Turtle Wax и Rain Guard от американской компании Hi-Gear состоит из нескольких этапов. Чистой мягкой тканью круговыми движениями следует нанести средство на лобовое стекло, дать просохнуть до появления налета и опять нанести препарат. Затем обрызгать стекло водой и протереть бумажным полотенцем до чистоты и блеска. Делать это нужно тщательно, не жалея времени и усилий. Тогда оба состава придадут стеклу гладкость, сравнимую с полировкой. Во время езды вода со скользкой поверхности будет скатываться, как с гуся.	Second	First
СОЧНАЯ СЕРДЦЕВИНА. Если внешность этой машинки была способна растопить лед в сердцах даже матерых сотрудников мотовзвода 8-го отдела ДПС и заставить их обойтись «устным внушением», то интерьер ее у многих вызывает еще более сильные чувства. Он богат, красив, продуман и, что часто не характерно для многих итальянских автомобилей, выполнен предельно аккуратно. Традиционное для семейства Alfa Romeo волнообразное торпедо в верхней части покрыто мягким матовым материалом с текстурой, напоминающей шагрень. А комбинация приборов -- это уже произведение искусства. Хотя, как бывает в искусстве, функция отчасти принесена в жертву красоте. И к ней надо привыкать. В центре внимания оказываются второстепенные приборы с надписями по-итальянски Aqua и Benzina, а также большой дисплей бортового компьютера, который может изъясняться на шести европейских языках. Кроме русского, увы. А вот утопленные в глубокие «колодцы» тахометр и спидометр оказываются в зоне периферийного зрения. Их стрелки, подобно тому, как это было на спортивных автомобилях первой половины прошлого века, в состоянии покоя смотрят строго «на 6 часов». Оригинально, стильно, но именно это и послужило причиной встречи с упомянутыми сотрудниками ДПС -- там, где у большинства машин на спидометрах находится отметка «80», у «147-й» -- всего-навсего «120».	Second	First
Но в данном случае хорошая организация пространства приятно дополняет общее впечатление от автомобиля. Машина настроена подчеркнуто спортивно, и легкость «контакта» позволяет получить удовольствие от этого в полной мере. Особенно приятно иметь дело с 2,3-литровым двигателем, оснащенным системой изменения фаз газораспределения S-VT. Он весьма отзывчив и хорошо тянет в достаточно широком диапазоне оборотов. Хотя, если вы хотите получить действительно динамичный разгон, лучше использовать более высокие частоты вращения. А какой приятный звук издает этот мотор! Иной раз кажется, что даже не важно, как быстро едет машина -- для удовольствия достаточно уже этого рыка. Точный и мягкий механизм переключения усиливает положительные эмоции.	Second	Second
13--14 мая -- более спокойные и благоприятные дни, самые мягкие в нынешнем бурном месяце.	Second	Second
АМЕРИКАНСКИЙ АКЦЕНТ. Многие «сааберы» отмечали слишком мягкую стандартную подвеску. Это связано с тем, что основным экспортным рынком для Saab всегда была Америка и конструкторы решили учесть предпочтения тамошних покупателей. Впрочем, в качестве опции (а для Aero -- в стандарте) предлагаются и более жесткие варианты. Подвеску можно поменять и на уже поездившем автомобиле: у официального дилера такой комплект  стоит около 600 долларов, а работа по замене -- примерно пятьсот.	First	Second
А что внутри? Если вы ожидаете от M3 чего-то экстраординарного за $79 тыс., то мы вынуждены вас разочаровать. Всего в меру, ровно на те $56 тыс., которые платят за купе. Салон M3 практически такой же, как и в 330Ci. Это вам не M5, где даже потолок отделан мягкой кожей... Тут обилие пластиковых деталей, одинаковые рули, все те же опции. Только вот передние сиденья, разработанные специально под M3, поражают богатством настроек. Можно даже регулировать жесткость и объем подушек боковой поддержки. И, естественно, есть фирменный «эмочный» тахометр -- со светящимися зонами риска. С оранжевыми секторами после 4000 об./мин., которые гаснут по мере того, как прогревается мотор, и красной зоной после 7500 об./мин.	First	First
BENTLEY представил еще один седан Arnage, на этот раз с литерой R. Он отличается от Bentley Arnage T более «слабым» мотором, мощность которого составляет 400 л.с. против прежних 450. С ним агрегатируется исключительно автоматическая 4-ступенчатая КПП, которая, тем не менее, позволяет набрать 100 км/ч всего за 6,3 сек. Максимальная скорость Bentley Arnage R -- 250 км/ч. Еще одно отличие новой модели -- более мягкая подвеска, улучшающая плавность хода.	Second	Second
Еще один минус: излишне мягкая подвеска в сочетании с длинноходностью, присущей внедорожникам, дает о себе знать при преодолении препятствий. В нашем случае -- при съезде с высокого бордюра. В момент срыва передних колес автомобиль под своей тяжестью очень ощутимо «клюет» носом и с леденящим душу звуком цепляет нижней частью бампера о землю. Для внедорожника сгодилась бы и более жесткая подвеска.	Second	Second
Не могла себе позволить Европа и электрических стеклоподъемников, а также дисковых тормозов на все колеса. Мало кому из покупателей Старого Света приходило в голову заказывать такие опции, возможные на Mercedes 280 SE, как электрическая регулировка передних сидений, автомобильный телефон, кондиционер, пневмоподвеска колес, электрический подъем мягкого верха в кабриолете...	Second	Second
