context	result	golden_standard
В Уэльс я поехал, не имея никаких адресов. Планов в полном понимании этого слова тоже не было. Вся поездка произошла несколько случайно: в университетском городе Эксетер подвернулась небольшая работа, которую там и тогда мог выполнить только я. Срочно готовили в Ленинград материалы на телевидение, и меня попросили отредактировать перевод. Полученных за это полутора сотен фунтов должно было с избытком хватить на небольшое путешествие, если, конечно, не жить в гостинице и тем более не ехать по железной дороге, безобразно дорогой в Великобритании -- по мнению даже самих британцев.	Second	Second
Технологическая культура -- умение обеспечивать выполнение технологических процессов и операций в полном соответствии с разработанными для них требованиями. Отсутствие этого умения так же сказывается на качестве продукции, как и низкая культура производства.	ZERO INTERSECTION	Second
Разработка новых вакцин пошла полным ходом в начале XX века, когда появились методы стабильной аттенуации (ослабления) микроорганизмов, исключающие риск развития болезни, и была открыта возможность использовать для вакцинации обезвреженные бактериальные токсины.	Second	Second
Оно понятно, что фашист готовился втайне и долго к войне, напал вероломно, когда мы мирно спали по домам, и необстрелянные хлопцы еще не скоро воевать теперь научатся. Но только врать тогда зачем, что скоро фрицу полная погибель, что день конца войны не за горами? Зачем народ-то расслаблять, когда его, напротив, надо на продолжительные тяготы настроить? Так, как сейчас настроились бойцы стрелкового полка всерьез на долгую и трудную работу уже поверх вранья и дурости трепливых комиссаров, -- уже не речи слыша, не пустые восклицания, а будто зов самой родной земли, звон ее соков, повелительную просьбу припасть, как к матери, собой напитать, всецело передать себя единой вспышкой или же по капле.	Second	Second
«Я в первый раз еду на такси в своем новом виде. Похоже, водитель надо мной усмехнулся»; «Забираю детей из школы. Дети говорят, чтобы по дороге я шла отдельно от них» (а детям-то по попе бы надавать. -- Е. П.); «Один редактор заметил, что в жировом костюме мои движения кажутся ему более агрессивными»; «Две женщины дошли до того, что откровенно смотрят на меня и шепчутся»; «По дороге домой, я купила десять пончиков. Один съела в поезде. Почему людям противно смотреть, как полный человек ест? Я не обращаю внимания на хмурые взгляды. Я хочу есть». Наконец, катарсис: «Ну ладно, пусть я толстая, зато я мыслящее существо. Я готова поспорить, что среди вас, посетителей ресторана, есть наркоманы, воры, люди, изменяющие своим супругам, плохие родители. Хотела бы я, чтобы ваши недостатки были так же явно видны, как нестандартный размер моего тела (между прочим, многие врачи считают это генетической проблемой, а не слабостью воли). Я отказываюсь от десерта и ухожу». И -- завершение маскарада: «Меня провожают заигрывающими взглядами те же самые мужчины, которые до этого смотрели на меня презрительно. А я думаю о том, что полным людям нужно обязательно ощутить свою полноценность. И о том, что мне (о добрая журналистка, готовая разделить позор вместе со своими героями! -- Е. П.) нужно собрать всю свою волю и отказаться от десерта».	Second	Second
Таким степенным, полным чувства собственного достоинства человеком его, несомненно, сделало доверие, которое ему оказали в лагере, избрав в руководство подпольной организации.	Second	Second
Петька привычно пропустил «пузыря» мимо ушей. Его ожидания, его с утра не отпускающее предвкушение чуда подтвердилось в полной мере. Хватило бы одного этого татуированного. Но по заднему сиденью машины, подвывая, зевая, просясь на улицу, тыкаясь в стекло носом, оставляющим обтекающие меловые отметины, бродила собака! Да и какая -- СОБАКА! Своих шавок в деревне хватало, редко какая вырастала более кролика. Толку от них было чуть, брех один, но дед, хотя и ворчал, всегда прикармливал штуки две-три. Но эта! Эта была большая, черная, со стоячими домиком ушами, задевающими потолочную обшивку, с широкой белой грудью, ощутимо надавливающей изнутри на дверцу. Ее разверстая, улыбающаяся, жаром исходящая розовая пасть, переходящая в черное и переплетенное, как дубовая кора, небо, частокол желтоватых страшных зубов внушали какое-то боязливое благоговение, и Петьке сразу захотелось вытянуться, под-тянуть живот, вообще стать лучше. А глаза... такие загадочные, черные, ласковые, но строгие глаза... такие глаза до этого Петька видел только у Насти Никаноровой... По всему было видно, что это городская собака.	Second	Second
-- Чистая рана. Будто хирург работал, -- пробормотал Митя, когда они с Горным вышли из спальни. -- И никаких следов борьбы... Такое впечатление, что выстрелили с ее полного согласия. Будто она лежала и ждала выстрела.	Second	Second
-- Не совсем! -- предположила Глушенкова. -- Кульков побывал на днях в боулинг-клубе, разговаривал с завсегдатаями, и те, правда без подробностей, вспомнили, что такой случай действительно был. Скорее всего, наниматель послал Стариковым по Интернету фотографию некого Малика -- человека, который должен будет проиграть им в кегельбане определенную сумму. Эта сумма, вероятно, была авансом за предстоящую услугу. А дальнейшие пункты искусного сценария нам известны: проигравшийся Малик просит супругов прибыть на станцию «Вознесенская» для полного расчета. Так можно объяснить появление Стариковых на платформе и их повышенное внимание к выходцу с Кавказа. Только вот Павел и Лариса не предполагали, что станут свидетелями чьей-то гибели. Поэтому они испугались и «домашнюю заготовку» озвучивать не стали, а предпочли сказать, что оказались на платформе совершенно случайно.	Second	Second
самолетов. Советское командование сосредоточило 1,336 млн. человек, более 14 тыс. орудий и минометов, 3444 танков и САУ, 2172 самолетов. Сражение закончилось полным разгромом войск вермахта: потеряно свыше 500 тыс. человек, 1,5 тыс. танков, свыше 3,7	Second	Second
